resolved.taxa.name,form,variety,species,genus,family,order,class,phylum,kingdom,rank,tol.id,source
Diplochloris lunata,NA,NA,Diplochloris lunata,Diplochloris,NA,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5153248,tol
Coenocystis planktonica,NA,NA,Coenocystis planktonica,Coenocystis,NA,NA,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,5151738,tol
Peridinium deflandrei,NA,NA,Peridinium deflandrei,Peridinium,NA,Peridiniales,Dinophyceae,NA,NA,species,6384149,tol
Peridinium berolinense,NA,NA,Tyrannodinium berolinense,Tyrannodinium,NA,Peridiniales,Dinophyceae,NA,NA,species,866729,tol
Chlamydomonas gracilis,NA,NA,Chlamydomonas gracilis,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,species,4004239,tol
Gloeocystis gigas,NA,NA,Gloeocystis gigas,Gloeocystis,Radiococcaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,572367,tol
Chloromonas,NA,NA,NA,Chloromonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,genus,112019,tol
Navicula pelliculosa,NA,NA,Fistulifera pelliculosa,Fistulifera,NA,NA,Bacillariophyceae,Bacillariophyta,NA,species,525510,tol
Carteria globulosa,NA,NA,Carteria globulosa,Carteria,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,species,4003627,tol
Pleurogaster lunaris,NA,NA,Pleurogaster lunaris,Pleurogaster,NA,Mischococcales,Xanthophyceae,NA,NA,species,4027093,tol
Didymogenes anomala,NA,NA,Didymogenes anomala,Didymogenes,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,593286,tol
Asterococcus limnecticus,NA,NA,Asterococcus limnecticus,Asterococcus,Palmellaceae,Tetrasporales,Chlorophyceae,Chlorophyta,Archaeplastida,species,4003558,tol
Cyclostephanos damasii,NA,NA,Cyclostephanos damasii,Stephanodiscus,NA,NA,Mediophyceae,Bacillariophyta,NA,species,2811785,tol
Lyngbya subtillissima,NA,NA,Lyngbya subtillissima,Lyngbya,NA,NA,NA,Cyanobacteria,NA,species,4016147,tol
Cosmarium formulosum,NA,NA,Cosmarium formulosum,Cosmarium,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,3854158,tol
Synedra radians,NA,NA,Fragilaria radians,Fragilaria,NA,Fragilariales,NA,Bacillariophyta,NA,species,156705,tol
Urosolenia,NA,NA,NA,Chaetoceros,NA,NA,Mediophyceae,Bacillariophyta,NA,genus,647151,tol
Heterothrix tenuissima,NA,NA,Heterothrix tenuissima,Heterothrix,NA,Tribonematales,Xanthophyceae,NA,NA,species,5408453,tol
Navicula lacunolaciniata,NA,NA,Mayamaea lacunolaciniata,Fistulifera,NA,NA,Bacillariophyceae,Bacillariophyta,NA,species,2817758,tol
Chloromonas prona,NA,NA,Chloromonas prona,Chloromonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5417865,tol
Oscillatoria hamelii,NA,NA,Oscillatoria hamelii,Oscillatoria,NA,NA,NA,Cyanobacteria,NA,species,4015816,tol
Anabaenopsis tanganyikae,NA,NA,Anabaenopsis tanganyikae,Anabaenopsis,NA,NA,NA,Cyanobacteria,NA,species,4015060,tol
Nannochloris atomus,NA,NA,Picochlorum atomus,Picochlorum,NA,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,83550,tol
