tax.uid,mean.mass,accepted.taxa.name,genus,family,order,class,phylum,kingdom
tax-2349,632.8099994343753,Lagerheimia wratislawiensis,Lagerheimia,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-235,84,Diploneis minuta,Diploneis,Diploneidaceae,Naviculales,Bacillariophyceae,Bacillariophyta,Chromista
tax-2353,236554.8,Micrasterias truncata,Micrasterias,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2359,632.8099994343753,Oonephris obesa,Oonephris,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-236,10522.289141928708,Oscillatoria,Oscillatoria,Oscillatoriaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria,Bacteria
tax-2360,632.8099994343753,Netrium digitus,Netrium,Mesotaeniaceae,Zygnematales,Zygnematophyceae,Charophyta,Plantae
tax-2362,1532.4250002416966,Staurodesmus octocornis,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2363,973.2049997171875,Oocystis elliptica,Oocystis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-2364,1620.98,Onychonema filiforme,Onychonema,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2365,0.001,Pseudopediastrum integrum,Pseudopediastrum,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2367,22793.75,Penium spirostriolatum,Penium,Peniaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2368,98175,Pleurotaenium,Pleurotaenium,Desmidiaceae,Desmidiales,Conjugatophyceae,Charophyta,Plantae
tax-237,106738.45538997898,Planktothrix agardhii,Planktothrix,Microcoleaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria
tax-2370,73426.2477694617,Pteromonas,Pteromonas,Phacotaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae
tax-2371,324.8040011312606,Quadrigula chodatii,Quadrigula,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2373,426.40499971718765,Scenedesmus circumfusus,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2374,222,Scenedesmus brevispina,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2377,467.20179971718755,Scenedesmus balatonicus,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2378,632.9049997171876,Desmodesmus microspina,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2379,13.412003393781664,Scenedesmus producto-capitatus,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-238,171475.75312196068,Planktothrix rubescens,Planktothrix,Microcoleaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria
tax-2384,47564.14110774604,Spondylosium planum,Spondylosium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2385,24558.605006600545,Staurodesmus convergens,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2386,98760.80364964968,Staurodesmus extensus,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2387,10695.21,Staurastrum hirsutum,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2388,257553.3946605697,Staurastrum chaetoceras,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2389,3208.22,Staurastrum margaritaceum,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-239,9259.147138301098,Skeletonema potamos,Skeletonema,Skeletonemataceae,Thalassiosirales,Mediophyceae,Bacillariophyta,Chromista
tax-2390,6165.257928263045,Staurastrum tetracerum,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2391,6274.329993889498,Staurodesmus dickiei,Staurodesmus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2394,364550.6401137228,Staurastrum pilosum,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2395,7581.06,Staurastrum hystrix,Staurastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2399,80.16666666666667,Stichococcus,Stichococcus,Prasiolaceae,Prasiolales,Trebouxiophyceae,Chlorophyta,Plantae
tax-24,1129.3933862034814,Monoraphidium nanum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-240,1369.0642425838369,Coenochloris,Coenochloris,Radiococcaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2402,45309.793503170185,Tetmemorus brebissonii,Tetmemorus,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2403,523.3639106030837,Tetraselmis,Tetraselmis,Chlorodendraceae,Chlorodendrales,Prasinophyceae,Chlorophyta,Plantae
tax-2404,523.5600000000001,Tetraspora gelatinosa,Tetraspora,Tetrasporaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
