body size,source code,Authors,Article Title,Source Title,Publication Year,Volume,Issue,Start Page,End Page,DOI,Abstract
D,83,"Wolf, R; Heuschele, J",Water Browning Influences the Behavioral Effects of Ultraviolet Radiation on Zooplankton,FRONTIERS IN ECOLOGY AND EVOLUTION,2018,6,,,,10.3389/fevo.2018.00026,effects of DOM and UV on exploration behavior and other motility patterns
D,84,"Kruk, C; Segura, AM; Nogueira, L; Alcántara, I; Calliari, D; de la Escalera, GM; Carballo, C; Cabrera, C; Sarthou, F; Scavone, P; Piccini, C",A multilevel trait-based approach to the ecological performance of Microcystis aeruginosa complex from headwaters to the ocean,HARMFUL ALGAE,2017,70,,23,36,10.1016/j.hal.2017.10.004,patterns at multiple levels of organization irrespective of taxonomic identity (i.e. a trait-based approach) were analyzed
D,86,"Brennan, GL; Colegrave, N; Collins, S",Evolutionary consequences of multidriver environmental change in an aquatic primary producer,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2017,114,37,9930,9935,10.1073/pnas.1703375114,how primary producers at the base of aquatic ecosystems respond to complex environmental change
D,87,"Hahn, MW; Karbon, G; Koll, U; Schmidt, J; Lang, E",Polynucleobacter sphagniphilus sp nov a planktonic freshwater bacterium isolated from an acidic and humic freshwater habitat,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2017,67,9,3261,3267,10.1099/ijsem.0.002096,"Strain MWH-Weng1-1T, isolated from an acidic freshwater habitat located in the Wenger Moor, Austria, was characterized by investigating its phenotypic, chemotaxonomic and genomic traits"
D,89,"Yang, D; Park, S","Freshwater anostracan, Branchinella kugenumaensis, as a potential controlling consumer species on toxic cyanobacteria Microcystis aeruginosa",AQUATIC ECOLOGY,2017,51,3,449,461,10.1007/s10452-017-9628-1,evaluate the potential of Branchinella kugenumaensis for cyanobacterial bloom control relative to Daphnia
D,90,"Santos-Medrano, GE; Robles-Vargas, D; Hernández-Flores, S; Rico-Martínez, R","Life table demography of Asplanchna brightwellii Gosse, 1850 fed with five different prey items",HYDROBIOLOGIA,2017,796,1,169,179,10.1007/s10750-016-3069-z,"table experiments on the freshwater rotifer Asplanchna brightwellii to analyze its demography when fed with prey items from several taxonomic groups (cladocerans, protozoans, and rotifers) and under two different temperature regimes (20 and 25°C)"
D,92,"Bramburger, AJ; Reavie, ED; Sgro, GV; Estepp, LR; Chraïbi, VLS; Pillsbury, RW",Decreases in diatom cell size during the 20th century in the Laurentian Great Lakes: a response to warming waters?,JOURNAL OF PLANKTON RESEARCH,2017,39,2,199,210,10.1093/plankt/fbx009,Decreases in diatom cell size during the 20th century in the Laurentian Great Lakes
D,93,"Rocha, GS; Tonietto, AE; Lombardi, AT; Melao, MDG",Effect of copper contaminated food on the life cycle and secondary production of Daphnia laevis,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,2016,133,,235,242,10.1016/j.ecoenv.2016.07.011,"valuated the bioaccumulation and effect of Cu on Raphidocelis subcapitata (freshwater algae), and the influence of Cu-contaminated food (algae) on Daphnia laevis (tropical cladoceran)"
D,97,"Reartes, SBR; Estrada, V; Bazán, R; Larrosa, N; Cossavella, A; López, A; Busso, F; Diaz, MS",Evaluation of ecological effects of anthropogenic nutrient loading scenarios in Los Molinos reservoir through a mathematical model,ECOLOGICAL MODELLING,2016,320,,393,406,10.1016/j.ecolmodel.2015.10.028,assess the likely ecosystem structural shifts that might be induced by seven alternative management scenarios relative to current simulated lake dynamics of Los Molinos reservoir
D,98,"Liu, X; Beyrend, D; Dur, G; Ban, S",Combined effects of temperature and food concentration on growth and reproduction of Eodiaptomus japonicus (Copepoda: Calanoida) from Lake Biwa (Japan),FRESHWATER BIOLOGY,2015,60,10,2003,2018,10.1111/fwb.12626,effect os food source and temperature on life history traits of  freshwater calanoid copepod Eodiaptomus japonicus 
D,99,"Narwani, A; Alexandrou, MA; Herrin, J; Vouaux, A; Zhou, C; Oakley, TH; Cardinale, BJ",Common Ancestry Is a Poor Predictor of Competitive Traits in Freshwater Green Algae,PLOS ONE,2015,10,9,,,10.1371/journal.pone.0137085,We provide the first investigation of the degree of phylogenetic signal in traits related to competition in freshwater green phytoplankton. 
D,100,"Behl, S; Stibor, H",Prey diversity and prey identity affect herbivore performance on different time scales in a long term aquatic food-web experiment,OIKOS,2015,124,9,1192,1202,10.1111/oik.01463,whether and how diversity-mediated productivity at the base of food-webs influences adjacent trophic levels 
D,101,"Grujcic, V; Kasalicky, V; Simek, K",Prey-Specific Growth Responses of Freshwater Flagellate Communities Induced by Morphologically Distinct Bacteria from the Genus Limnohabitans,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,2015,81,15,4993,5002,10.1128/AEM.00396-15,examining bacterial carbon flow to the grazer food chain
D,102,"Shi, PL; Shen, H; Wang, WJ; Chen, WJ; Xie, P",The relationship between light intensity and nutrient uptake kinetics in six freshwater diatoms,JOURNAL OF ENVIRONMENTAL SCIENCES,2015,34,,28,36,10.1016/j.jes.2015.03.003,P and Si-uptake kinetics for diatom species from two light regime
D,106,"Kong, YJ; Lou, IC; Zhang, YY; Lou, CU; Mok, KM",Using an online phycocyanin fluorescence probe for rapid monitoring of cyanobacteria in Macau freshwater reservoir,HYDROBIOLOGIA,2014,741,1,33,49,10.1007/s10750-013-1759-3,applied and tested an online phycocyanin (PC) fluorescence probe for rapid monitoring of cyanobacteria in the Macau Storage Reservoir (MSR) that is experiencing cyanobacterial blooms.
D,107,"Souza, JP; Melo, DC; Lombardi, AT; Melao, MGG",Effects of dietborne cadmium on life history and secondary production of a tropical freshwater cladoceran,ECOTOXICOLOGY,2014,23,9,1764,1773,10.1007/s10646-014-1341-4,provide life history parameters and secondary production of Simocephalus serrulatus (Koch 1841) (Cladocera: Daphniidae) fed with cadmium (Cd) contaminated algae during a 21-day bioassay.
D,108,"Hahn, MW; Schmidt, J; Taipale, SJ; Doolittle, WF; Koll, U","Rhodoluna lacicola gen. nov., sp nov., a planktonic freshwater bacterium with stream-lined genome",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,2014,64,,3254,3263,10.1099/ijs.0.065292-0,"characterized ‘Candidatus Rhodoluna lacicola ’ strain MWH-Ta8 by phylogenetic and taxonomic investigations, as well as by determination of its complete genome sequence."
D,109,"Vijverberg, J; Dejen, E; Getahun, A; Nagelkerke, LAJ","Zooplankton, fish communities and the role of planktivory in nine Ethiopian lakes",HYDROBIOLOGIA,2014,722,1,45,60,10.1007/s10750-013-1674-7,Fish and zooplankton populations of nine Ethiopian freshwater lakes were quantitatively sampled along a North–South gradient
D,112,"Shatwell, T; Köhler, J; Nicklisch, A",Temperature and photoperiod interactions with silicon-limited growth and competition of two diatoms,JOURNAL OF PLANKTON RESEARCH,2013,35,5,957,971,10.1093/plankt/fbt058,ultivated Stephanodiscus minutulus and Nitzschia acicularis (freshwater diatoms) under silicon limitation at different temperatures and photoperiods in continuous and batch culture.
D,113,"Burns, CW","Predictors of invasion success by Daphnia species: influence of food, temperature and species identity",BIOLOGICAL INVASIONS,2013,15,4,859,869,10.1007/s10530-012-0335-5,"test aspects of reproduction and fitness of the invader, D. ‘pulex’, and D. carinata when grown together at a range of relevant temperatures (8–23 °C) and related photoperiods"
