resolved.taxa.name,tax.uid,form,variety,species,genus,family,order,class,phylum,kingdom,rank,source,check
Pseudopediastrum boryanum longicorne,tax-139,NA,Pseudopediastrum boryanum longicorne,NA,Pseudopediastrum,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,variety,AlgaeBase,check
Aulomonas purdyi,tax-140,NA,NA,Aulomonas purdyi,Aulomonas,Salpingoecidae,Craspedida,Choanoflagellatea,Choanozoa,NA,species,AlgaeBase,check
Pseudokephyrion striatum,tax-141,NA,NA,Pseudokephyrion striatum,Pseudokephyrion,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
Limnothrix guttulata,tax-142,NA,NA,Limnothrix guttulata,Limnothrix,Pseudanabaenaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Uroglenopsis soniaca,tax-143,NA,NA,Uroglenopsis soniaca,Uroglenopsis,Chromulinaceae,Chromulinales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
Scenedesmus intermedius acaudatus,tax-144,NA,Scenedesmus intermedius acaudatus,NA,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,variety,AlgaeBase,check
Oocystis bispora,tax-145,NA,NA,Oocystis bispora,Oocystis,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Monoraphidium convolutum,tax-146,NA,NA,Monoraphidium convolutum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Aphanocapsa grevillei,tax-147,NA,NA,Aphanocapsa grevillei,Aphanocapsa,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Chroococcus obliteratus,tax-148,NA,NA,Chroococcus obliteratus,Chroococcus,Chroococcaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Gloeocapsa granosa,tax-149,NA,NA,Gloeocapsa granosa,Gloeocapsa,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Merismopedia glauca,tax-150,NA,NA,Merismopedia glauca,Merismopedia,Merismopediaceae,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Binuclearia lauterbornii,tax-151,NA,NA,Binuclearia lauterbornii,Binuclearia,Binucleariaceae,Ulotrichales,Ulvophyceae,Chlorophyta,NA,species,AlgaeBase,check
Ulothrix limnetica,tax-152,NA,NA,Ulothrix limnetica,Ulothrix,Ulotrichaceae,Ulotrichales,Ulvophyceae,Chlorophyta,NA,species,AlgaeBase,check
Desmodesmus lunatus,tax-153,NA,NA,Desmodesmus lunatus,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Pseudotetraedriella kamillae,tax-154,NA,NA,Pseudotetraedriella kamillae,Pseudotetraëdriella,Monodopsidaceae,Eustigmatales,Eustigmatophyceae,Ochrophyta,NA,species,AlgaeBase,check
Actinastrum aciculare,tax-158,NA,NA,Actinastrum aciculare,Actinastrum,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Desmodesmus dispar,tax-159,NA,NA,Desmodesmus dispar,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Gomphonema pumilum,tax-161,NA,NA,Gomphonema pumilum,Gomphonema,Gomphonemataceae,Cymbellales,Bacillariophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Lemmermannia triangularis,tax-162,NA,NA,Lemmermannia triangularis,Lemmermannia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Monoraphidium contortum,tax-163,NA,NA,Monoraphidium contortum,Monoraphidium,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Crucigenia fenestrata,tax-164,NA,NA,Crucigenia fenestrata,Crucigenia,,,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Selenochloris quadriloba,tax-166,NA,NA,Selenochloris quadriloba,Selenochloris,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Kephyrion spirale,tax-167,NA,NA,Kephyrion spirale,Kephyrion,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,NA,species,AlgaeBase,check
Willea rectangularis,tax-168,NA,NA,Willea rectangularis,Willea,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Ankyra inermis,tax-170,NA,NA,Ankyra inermis,Ankyra,Sphaeropleaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Stichococcus bacillaris,tax-171,NA,NA,Stichococcus bacillaris,Stichococcus,Stichococcaceae,Prasiolales,Trebouxiophyceae,Chlorophyta,NA,species,AlgaeBase,check
Pyramimonas micron,tax-172,NA,NA,Pyramimonas micron,Pyramimonas,Pyramimonadaceae,Pyramimonadales,Pyramimonadophyceae,Chlorophyta,NA,species,AlgaeBase,check
Desmodesmus bicellularis,tax-173,NA,NA,Desmodesmus bicellularis,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Stephanodiscus minutulus,tax-174,NA,NA,Stephanodiscus minutulus,Stephanodiscus,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Stephanodiscus parvus,tax-175,NA,NA,Stephanodiscus parvus,Stephanodiscus,Stephanodiscaceae,Stephanodiscales,Mediophyceae,Bacillariophyta,NA,species,AlgaeBase,check
Tetrastrum elegans,tax-176,NA,NA,Tetrastrum elegans,Tetrastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,NA,species,AlgaeBase,check
Jaaginema geminatum,tax-177,NA,NA,Jaaginema geminatum,Jaaginema,,Synechococcales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
Desmarella brachycalyx,tax-178,NA,NA,Desmarella brachycalyx,Desmarella,Codonosigidae,Craspedida,Choanoflagellatea,Choanozoa,NA,species,AlgaeBase,check
Cuspidothrix issatschenkoi,tax-180,NA,NA,Cuspidothrix issatschenkoi,Cuspidothrix,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteria,NA,species,AlgaeBase,check
